,address,aka_name,city,dba_name,facility_type,inspection_date,inspection_id,inspection_type,latitude,license_,location,location_address,location_city,location_state,location_zip,longitude,results,risk,state,violations,zip
243,4224 W BELMONT AVE ,LITTLE ANGELS PARADISE DAYCARE,CHICAGO,LITTLE ANGELS PARADISE DAYCARE AND EDUCATIONAL CEN,Children's Services Facility,2018-01-26T00:00:00.000,2136057,License,41.93912407159861,2443226,POINT (-87.733124236245 41.939124071599),,,,,-87.73312423624462,Pass,Risk 1 (High),IL,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN INTERIOR SURFACES OF EXPOSED HAND SINK AT EVERY CLASSROOMS. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS ALONG THE WALLS AND IN ALL CORNERS IN FRONT AND IN REAR STORAGE ROOM. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: INSTRUCTED TO SEAL OR PAINT RAW WOOD (4) DOOR FRAME AND SWING DOOR AT EVERY CLASSROOMS. MUST BE SMOOTH AND EASILY CLEANABLE. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: INSTRUCTED TO CLEAN, REORGANIZE AND REMOVE UNNECESSARY ARTICLES AND CLUTTER STORED IN FRONT STORAGE (ACROSS ENTRY DOOR) AND IN REAR STORAGE (NEXT TO PREP AREA) CLOSET. USABLE ITEMS (FOOD AND NON FOOD) MUST BE STORED 6' OFF THE FLOOR FOR EASY ACCESS ON CLEANING AND TO PREVENT PEST HARBORAGE.",60641
244,518 W HARRISON ST ,HAROLD'S SHRIMP & CHICKEN 2,CHICAGO,HAROLD'S SHRIMP & CHICKEN 2,Restaurant,2018-01-26T00:00:00.000,2136056,License,41.87450605062665,2578273,POINT (-87.640380502432 41.874506050627),,,,,-87.64038050243174,Pass,Risk 2 (Medium),IL,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST REPAIR UNFINISHED WALL IN DINING AREA. REPAIR/REPLACE STAINED CEILING TILES IN REAR PREP. MUST DETAIL CLEAN DUST FROM VENT COVERS IN WALK-IN COOLER. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: MUST REPLACE BURNED OUT LIGHTS IN PREP, AND DINING AREAS. ALSO, REPLACE MISSING LIGHT SHIELD IN REAR PREP. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: MUST CLEAN EXCESSIVE CLUTTER FROM OUTSIDE THE REAR EXIT DOOR, AND AROUND THE SIDES OF THE PREMISES (REFRIGERATOR, CARDBOARD, COOLER, ETC.) | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: MUST STAIN OR PAINT RAW WOOD AROUND THE INTERIOR WALL OF THE SERVICE COUNTER. ALSO, REMOVE DUCT TAPE FROM CEILING TILES IN REAR PREP.",60607
245,10000 S MICHIGAN AVE ,MUNCHYZ,CHICAGO,"MUNCHYZ,INC",Restaurant,2018-01-26T00:00:00.000,2136055,License Re-Inspection,41.71262455008975,2574402,POINT (-87.62027851926 41.71262455009),,,,,-87.62027851925964,Fail,Risk 2 (Medium),IL,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: OBSERVED OVER 20 MICE DROPPINGS SCATTERED ALONG NORTH WALL BEHIND SHELVING IN SALES AREA, 10 MICE DROPPINGS ON FLOOR UNDER 3-COMPARTMENT SINK, 5 MICE DROPPINGS ON FLOOR IN CORNER OF UNUSED WALK-IN COOLER, 5 MICE DROPPINGS ON CEMENT BLOCKS IN BASEMENT STORAGE AREA. INSTRUCTED MANAGER TO CALL AN EXTERMINATOR FOR SERVICE, CLEAN AND SANITIZE ALL AREAS. SERIOUS VIOLATION 7-38-020 | 19. OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED - Comments: OBSERVED NO OUTSIDE GARBAGE DUMPSTER. INSTRUCTED MANAGER TO PROVIDE COMMERCIAL DUMPSTER FOR PROPER GARBAGE DISPOSAL. SERIOUS VIOLATION 7-38-020. 
 | 2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: COOLERS MAINTAINING PROPER TEMPERATURE 42F, 41F, 40.8F | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS NOT CLEAN IN PREP, DISH WASHING AREA, STORAGE AREA, AND BASEMENT. MUST CLEAN. 
 | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: LIGHTING PROVIDED IN BASEMENT. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: VENTILATION PROVIDED IN BASEMENT WASHROOM. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: MUST REMOVE CLUTTER INSIDE UNUSED WALK IN COOLER AND BASEMENT.",60628
246,2121 N Keeler ,NIXON ELEMENTARY,CHICAGO,Nixon,School,2018-01-26T00:00:00.000,2136054,Canvass Re-Inspection,41.91959342122171,24681,POINT (-87.731383676008 41.919593421222),,,,,-87.73138367600808,Pass,Risk 1 (High),IL,"19. OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED - Comments: VIOLATION CORRECTED. | 21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: VIOLATION CORRECTED.
 | 28. * INSPECTION REPORT SUMMARY DISPLAYED AND VISIBLE TO ALL CUSTOMERS - Comments: VIOLATION CORRECTED. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: VIOLATION CORRECTED. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: VIOLATION CORRECTED.",60639
247,1616 N KEDZIE AVE ,Zoku Sushi,CHICAGO,Zoku Sushi,Restaurant,2018-01-26T00:00:00.000,2136053,License,41.910651483924326,2575420,POINT (-87.706935159279 41.910651483924),,,,,-87.7069351592786,Pass,Risk 1 (High),IL,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: Observed slight dirt accumulation in the interior portion of the ice machine that produces ice for human consumption. Instructed facility to clean, sanitize, and maintain. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: Observed dirt and food debris on the floors throughout: along wall bases and under and around all equipment. Instructed facility to clean and maintain. | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: Instructed facility to label and maintain all bulk food containers, any food items out of original containers, and any food to be held longer than 24 hours.

Instructed facility to post and maintain a consumer advisory either on each menu or in plain sight of customers. | 31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: Observed plates at the front counter food contact side up. Instructed facility to invert and maintain to help prevent possible contamination.",60647
248,5450-5452 S HALSTED ST ,HAREER FOOD & LIQUOR,CHICAGO,HAREER FOOD & LIQUOR,Grocery Store,2018-01-26T00:00:00.000,2136052,Complaint Re-Inspection,41.79461267421702,2088918,POINT (-87.64531451029 41.794612674217),,,,,-87.64531451028982,Pass,Risk 3 (Low),IL,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: Observed damaged gaskets along side of door of walk in beer cooler. Must repair and maintain same. Observed heavily soiled cardboard (used as a liner) under chips on shelves. Must remove. All surfaces must be smooth and easily cleanable. Must maintain same.	 | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: Observed excessive dust build up on fan covers and ceilings of beer walk in cooler. Must detail clean and sanitize. Must maintain same. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: Observed several holes or missing ceiling tiles in furnace room, and storage rooms behind counter. Must repair or replace all ceiling tiles to prevent pest entry. Must maintain same.	 | 16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: Violation corrected. No live animals on premises. All cages, litter box, and food bowls have been removed. ",60609
249,4150 W DICKENS ,Nixon  Annex,CHICAGO,Nixon  Annex,School,2018-01-26T00:00:00.000,2136051,Canvass Re-Inspection,41.91904518918285,24682,POINT (-87.731134398129 41.919045189183),,,,,-87.73113439812856,Pass,Risk 1 (High),IL,"19. OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED - Comments: VIOLATION CORRECTED.  | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: VIOLATION CORRECTED. ",60639
250,3811 N LINCOLN AVE ,KIDZ CREATIVE CORNER,CHICAGO,KIDZ CREATIVE CORNER,Children's Services Facility,2018-01-26T00:00:00.000,2136047,Canvass,41.95092894222622,2327452,POINT (-87.676346176802 41.950928942226),,,,,-87.6763461768022,Fail,Risk 1 (High),IL,"11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: NO HOT WATER PROVIDED AT EXPOSED HAND SINK IN PREP AREA.PRESENTLY HOT WATER TEMPERATURE 49.3F TO 50F. INSTRUCTED TO PROVIDE HOT WATER AT SAID SINK,MINIMUM OF 85F. TEMPORARILY INSTRUCTED TO USE EXPOSED HAND SINK AT PRE-SCHOOL ROOM WHICH SHORT DISTANCE BY THE KITCHEN,WITHOUT DOORS.
CRITICAL VIOLATION:7-38-030 | 21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: NO ORIGINAL CITY SANITATION CERTIFICATE PROVIDED/POSTED ON SITE.INSTRUCTED TO PROVIDE.
SERIOUS VIOLATION:7-38-012(A) | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: WOOD BASE INSIDE THE THREE COMPARTMENT SINK HAS ROUGH SURFACE,UNABLE TO CLEAN.REPAIR/REPLACE. SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT SURFACE.
 RUST ON GRASE TRAP LID UNDER THE THREE COMPARTMENT SINK,REMOVE AND REPAINT. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: ITEMS ON FLOOR INSIDE THE CLOSETS AND MOP SINKS MUST BE ELEVATED 6' OFF THE FLOOR  FOR CLEAN PURPOSE | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: HOLES ON WALLS UNDER THREE COMPARTMENT SINK INSIDE  THE CABINET,SEAL AND MAINTAIN SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT SURFACE  | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: NO BACK FLOW PREVENTER DEVICE PROVIDED AT BOTH MOP SINK,INSTRUCTED TO PROVIDE.",60613
251,9928 S CRANDON AVE FL ,BURNHAM MATH AND SCIENCEACADEMY,CHICAGO,BURNHAM MATH AND SCIENCE ACADEMY,School,2018-01-26T00:00:00.000,2136044,Canvass,41.7144017634731,3247017,POINT (-87.567167212208 41.714401763473),,,,,-87.56716721220778,Pass,Risk 2 (Medium),IL,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: FOUND THE RUBBER GASKET OF THE RIGHT DOOR OF TWO DOOR REFRIGERATION UNIT NEXT TO THE STORAGE SHELVES IN THE KITCHEN IN POOR REPAIR; REPAIR RUBBER GASKET. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED THE CEILING OF THE GIRLS WASHROOM ON THE FIRST FLOOR (CENTER AREA) IN POOR REPAIR FROM WATER DAMAGE; REPAIR CEILING. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: FOUND ONE SINK IN THE GIRLS WASHROOM (FIRST FLOOR SOUTH) WITH NO RUNNING WATER; MUST RESTORE RUNNING WATER TO THIS SINK.  (TWO SINKS IN THIS WASHROOM).",60617
252,4556 S ASHLAND AVE ,INTERNATIONAL SUPERMARKET INC,CHICAGO,INTERNATIONAL SUPERMARKET INC,Grocery & Restaurant,2018-01-26T00:00:00.000,2136041,Complaint,41.81056567737924,16712,POINT (-87.665170516902 41.810565677379),,,,,-87.66517051690172,Fail,Risk 1 (High),IL,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Observed leak from right faucet on 3 compartment sink in rear prep area. Observed small leak from pipe below hand sink in basement prep area. Must repair and maintain all.  | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: Observed several large and small holes in ceiling above rear prep (and dish) area on the main floor. Observed missing/damaged wall tile along the bottom of the corner near stairs of basement prep area. Must repair all holes to prevent pest entry. Must maintain same.  | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: Observed approximately 2-3 large, black flies on sales floor, and 14-15 in basement prep area. Must detail clean and sanitize area. Must eliminate pest issue. Serious violation 7-38-020.",60609
253,6201 S Fairfield (2732W) ,FAIRFIELD ACADEMY,CHICAGO,FAIRFIELD ACADEMY,School,2018-01-26T00:00:00.000,2136034,Canvass Re-Inspection,41.78086789054542,26701,POINT (-87.692077584419 41.780867890545),,,,,-87.69207758441868,Pass,Risk 1 (High),IL,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: CORRECTED. ALL AFFECTED AREAS CLEAN AND ORGANIZED, CLUTTER REMOVED. NO MICE ACTIVITY NOTED. RECENT PEST CONTROL SERVICE 1/24/18 & 1/25/18. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: NO EXPOSED HANDSINK AT SERVING LINE. INSTD TO INSTALL SAME WITH HOT/COLD RUNNING WATER UNDER CITY PRESSURE. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: CORRECTED. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: CORRECTED.",60629
254,2547 W LAWRENCE AVE ,KIMBERLI  SUSHI  BAR & THAI,CHICAGO,KIMBERLI SUSHI BAR & THAI,Restaurant,2018-01-25T00:00:00.000,2136032,Canvass,41.96846702189828,2522869,POINT (-87.693220134553 41.968467021898),,,,,-87.69322013455337,No Entry,Risk 1 (High),IL,,60625
255,2943 W IRVING PARK RD ,TOMATILLO TACO-VILLE,CHICAGO,TOMATILLO TACO-VILLE LLC,Restaurant,2018-01-25T00:00:00.000,2136030,License,41.95384422496512,2578075,POINT (-87.702436776259 41.953844224965),,,,,-87.70243677625855,Fail,Risk 1 (High),IL,"11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: THE ONLY EXPOSED HAND WASHING SINK ON PREMISES IS NOT IN A CONVENIENT LOCATION OR ACCESSIBLE AT THIS TIME: HAND SINK IS LOCATED BEHIND THE PREP AREA ON THE OTHER SIDE OF THE WALL OF THE 3-COMPARTMENT SINK IN A CORAL WHERE A UTILITY SINK WOULD BE MORE SUITABLE. INSTRUCTED TO RELOCATE THE EXPOSED HAND SINK TO THE FOOD PREPARATION AREA IN THE KITCHEN TO PROVIDE EASY ACCESS FOR FOOD HANDLERS. CRITICAL VIOLATION | 19. OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED - Comments: OUTSIDE GARBAGE AREA NOT MAINTAINED: OBSERVED GREASE DROPLETS HANGING FROM THE EXTERIOR AND GREASE POOLING ON THE LID OF THE EXTERIOR GREASE RECEPTACLE. INSTRUCTED TO DETAIL CLEAN THE EXTERIOR SURFACE OF THE GREASE RECEPTACLE AND MAINTAIN. SERIOUS VIOLATION 7-38-020 | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: FOUND NO UTILITY SINK ON PREMISES: MUST INSTALL A UTILITY SINK WITH HOT AND COLD RUNNING WATER ON PREMISES WITHIN 90 DAYS. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: OBSERVED RIPPED GASKETS AROUND THE DOORS OF THE 2-DOOR REACH-IN REFRIGERATOR IN THE PREP AREA. INSTRUCTED TO REPLACE GASKETS TO PROVIDE A TIGHT FITTING SEAL AROUND THE DOORS OF THE REFRIGERATOR AT ALL TIMES. | 24. DISH WASHING FACILITIES: PROPERLY DESIGNED, CONSTRUCTED, MAINTAINED, INSTALLED, LOCATED AND OPERATED - Comments: FOUND NO CHEMICAL TEST KIT FOR THE 3-COMPARTMENT SINK ON PREMISES: MUST PROVIDE A CHEMICAL TEST KIT TO TEST THE SANITIZING CONCENTRATION ON A DAILY BASIS. MAINTAIN ON SITE AT ALL TIMES. SERIOUS VIOLATION 7-38-030",60618
256,2518 W 26TH ST ,LA PUESTA DEL SOL,CHICAGO,LA PUESTA DEL SOL,Restaurant,2018-01-25T00:00:00.000,2136029,License,41.84489223157749,2577996,POINT (-87.688477668191 41.844892231577),,,,,-87.688477668191,Pass,Risk 1 (High),IL,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: MUST PROVIDE A SPLASH GUARD BETWEEN UTILITY SINK AND EPOSED HANDWASH SINK AT REAR PREP AREA. MUST REPAIR LOOSE RUBBER GASKET OF REFRIGERATOR BEHIND FRONT SERVICE COUNTER. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN FLOOR ALONG WALLBASE UNDER PREP TABLE AT REAR PREP AREA.",60608
257,4200 W 55TH ST ,KFC,CHICAGO,KFC,Restaurant,2018-01-25T00:00:00.000,2136025,Canvass,41.79326988666046,2475925,POINT (-87.728124774898 41.79326988666),,,,,-87.72812477489833,Out of Business,Risk 1 (High),IL,,60632
258,833-839 W RANDOLPH ST ,NELLCOTE,CHICAGO,NELLCOTE,Restaurant,2018-01-25T00:00:00.000,2136024,Canvass,41.88427721586092,2102789,POINT (-87.648658529598 41.884277215861),,,,,-87.64865852959758,Pass,Risk 1 (High),IL,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: MUST REMOVE RUST FROM STORAGE RACKS IN WALK IN COOLER (PROTEIN). ALSO, DISCONTINUE USING MILK CRATES AS STORAGE RACKS THROUGHOUT ALL PREP AREAS, INSTALL CORRECT RACKS FOR PROPER FOOD STORAGE.  | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST RE-GROUT FLOORS IN HOT LINE PREP AREA.  | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST SEAL/REPAIR HOLES IN WALL AT THE TOP OF THE BASEMENT STAIRS. ALSO, REPAIR PEELING PAINT ON WALL ADJACENT TO BASEMENT. CLEAN GREASE ACCUMULATION FROM HOOD FILTERS IN HOT LINE PREP AREA. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: MUST REPLACE BURNED OUT LIGHTS IN  KITCHEN HOODS IN PREP AREA, SERVICE SIDE STATION, AND ABOVE THE ENTRANCE OF THE DISH MACHINE ROOM. ALSO CLEAN UNKNOWN DEBRIS FROM LIGHT SHIELD IN THE DISH MACHINE ROOM. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: INCREASE HOT WATER PRESSURE AT THE 2ND EXPOSED HAND SINK IN THE LADIES TOILET ROOM ON THE 833 SIDE OF THE BUILDING. ALSO, THE 1ST STALL IN SAID TOILET ROOM IS NOT WORKING. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN GREASE ACCUMULATION FROM WHEEL CASTERS ON HEAVY EQUIPMENT IN HOT LINE PREP AREA.  | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: OBSERVED EMPLOYEE PERSONAL ITEMS IN DISH MACHINE AREA. INSTRUCTED TO PROVIDE DESIGNATED AREA FOR ALL EMPLOYEE PERSONAL ITEMS.",60607
259,4630 W LAWRENCE AVE ,DESSERT CONCEPTS LLC,CHICAGO,DESSERT CONCEPTS LLC,Restaurant,2018-01-25T00:00:00.000,2136022,Canvass,41.968177544751605,2451485,POINT (-87.744207869075 41.968177544752),,,,,-87.74420786907501,No Entry,Risk 1 (High),IL,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments:  INSTRUCTED TO CLEAN FLOORS ALONG THE WALLS AND IN ALL CORNERS IN BASEMENT STORAGE AREA.
 | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: INSTRUCTED TO SEAL HOLES ON WALLS IN REAR PREP/BAKING AREA.---------MUST SEAL RAW BRICK WALL AROUND DINING AND BAR AREA (NOT IN USED AT THIS TIME).",60630
260,6536 S KEDZIE AVE ,DUNKIN DONUTS,CHICAGO,DUNKIN DONUTS,Restaurant,2018-01-25T00:00:00.000,2136021,License,41.774244210348684,2535470,POINT (-87.703174822309 41.774244210349),,,,,-87.70317482230865,Pass,Risk 2 (Medium),IL,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED THE RESTROOMS VENTILATION NOT WORKING AT THIS TIME,INSTRUCTED TO REPAIR.",60629
261,4855 N MILWAUKEE AVE ,EXCELSIOR GARDEN,CHICAGO,EXCELSIOR GARDEN,Restaurant,2018-01-25T00:00:00.000,2136020,Canvass,41.96931524329953,1335894,POINT (-87.761820255403 41.9693152433),,,,,-87.76182025540278,Pass,Risk 1 (High),IL,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: Observed execessive grease build-up on floors beneath all the cooking equipments.Instructed to clean floors in detail to remove excessive grease build-up and maintain. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: Observed kitchen exhaust hood/filters and ceiling ventilation cover above the walk-in-freezer with excessive grease build-up.Instructed to clean in detail said areas to remove grease build-up and replace damaged ceiling tiles near the walk-in-cooler/freezer and maintain. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: Observed kitchen white cutting board with deep and dark grooves and rusts on shelvings inside the walk-in-cooler.Instructed to replace said cutting board and replace/repair said shelvings using a non-toxic finish and maintain.
 | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: Observed large bulk food containers stored at rear on shelf not labeled.Instructed to label bulk all food containers when out of original containers and maintain. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: Instructed to detail clean fan covers inside the walk-in-cooler and sides of hot cooking equipments and interior bottom compartment of deep fryer and maintain. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: Instructed to replace burnt-out light bulbs above the walk-in-cooler/freezer and maintain adequate lighting at all times.",60630
262,3951 W LAWRENCE AVE ,FRIENDS CAFE & INDIAN GROCERY,CHICAGO,FRIENDS  CAFE,Grocery Store,2018-01-25T00:00:00.000,2136019,License,41.96813694682956,2578367,POINT (-87.72765332536 41.96813694683),,,,,-87.7276533253596,Pass,Risk 3 (Low),IL,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: No ventilation inside the washroom. Must install.


NO mop sink. Must install mop sink with hot and cold running water under city pressure and install back flow preventer device on the faucet of the mop sink. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: All raw wood must be sealed or painted thru-out the establishment. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: Must clean and remove the dust of  the fan guard of the cold beverages cooler (with dust build-up) and maintain.  | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: All unused/broken microwave and small cooler must be remove to prevent rodent/insects harborage.",60625
263,447 E 63RD ST ,CHOICE FISH & CHICKEN,CHICAGO,CHOICE FISH & CHICKEN,Restaurant,2018-01-25T00:00:00.000,2136018,Canvass,41.780161576495935,1968664,POINT (-87.613805130509 41.780161576496),,,,,-87.61380513050852,Out of Business,Risk 2 (Medium),IL,,60637
